"Vague","S1. genre","S2. âge","S3. Zone géo","Région","Département","S7b. Taille commune","q5. Certitude/hypothèse impact effet de serre","q11. Solutions changement climatique","q18_i1. Causes GES activités industrielles","q18_i2. Causes GES transports","q18_i3. Causes GES bâtiments","q18_i4. Causes GES agriculture","q18_i5. Causes GES centrales de production d'électricité au gaz, charbon ou fuel","q18_i6. Causes GES traitement des déchets","q18_i7. Causes GES destruction des forêts","q18_i8. Causes GES centrales nucléaires","q18_i9. Causes GES activité volcanique","q18_i10. Causes GES bombes aérosols","s13. Nb membres foyer","s15. Diplôme","s17. Type habitat","s18. Statut locataire/propriétaire","s22. Mode de transport","s25. Sympathie mouvements écologistes","poids","age"
"Vague 01","Un homme","65 ans et +","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Meurthe-et-Moselle","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Assez","Peu","Peu","Peu","Peu","Peu","Peu","Pas du tout","Assez","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5703704","68"
"Vague 01","Un homme","35-49 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Meurthe-et-Moselle","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Peu","Peu","Peu","Peu","Peu","Peu","Peu","Peu","Assez","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","40"
"Vague 01","Un homme","25-34 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Pas du tout","Beaucoup","Assez","Beaucoup","Beaucoup","Peu","Assez","4 personnes et +","CAP - BEP","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","34"
"Vague 01","Une femme","35-49 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Beaucoup","Assez","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","0.5703704","40"
"Vague 01","Un homme","15-17 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Corrèze","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Beaucoup","Assez","Beaucoup","Beaucoup","Peu","Pas du tout","Peu","Peu","Beaucoup","4 personnes et +","No rep.","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","No rep.","2.423913","15"
"Vague 01","Une femme","25-34 ans","Nord Ouest","Pays de la Loire","Loire-Atlantique","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","Beaucoup","Assez","Beaucoup","Assez","Peu","Assez","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5703704","28"
"Vague 01","Une femme","50-64 ans","Nord Ouest","Bretagne","Finistère","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Pas du tout","No rep.","No rep.","No rep.","No rep.","No rep.","No rep.","No rep.","Peu","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5728643","57"
"Vague 01","Une femme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Haute-Vienne","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","Peu","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...pas de sympathie du tout ?","0.7383178","20"
"Vague 01","Une femme","50-64 ans","Ile de France","Ile de France","Val-d'Oise","Dans l'agglomération parisienne","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Peu","Peu","Peu","Pas du tout","Peu","Assez","Pas du tout","Peu","Peu","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...peu de sympathie ?","1.1126761","51"
"Vague 01","Une femme","35-49 ans","Nord Ouest","Basse - Normandie - Haute - Normandie","Calvados","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Peu","Assez","Assez","Assez","Peu","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","35"
